Code INSEE;Code Postal;Commune;Statut;Altitude Moyenne;Superficie;Population;lattitude;longitude
79356;79150;VOULTEGON;Commune simple;136;1760;0,6;46,9119628011;-0,52429679005
79179;79320;MONCOUTANT;Chef-lieu canton;179;2671;3,1;46,7361693715;-0,578776799054
79270;79400;SAINT-MAIXENT-L'ECOLE;Chef-lieu canton;82;519;7,5;46,4128319027;-0,210238265156
79006;79190;LES ALLEUDS;Commune simple;164;924;0,3;46,1594577371;-0,013910113453
79190;79130;NEUVY-BOUIN;Commune simple;207;2556;0,5;46,6807933407;-0,446564097269
79214;79500;POUFFONDS;Commune simple;129;728;0,4;46,2011824615;-0,116352885549
79349;79110;VILLEMAIN;Commune simple;114;1688;0,2;46,0168427404;-0,111271447669
79153;79110;LOUBIGNE;Commune simple;113;1115;0,2;46,0754688078;-0,0821508831682
79300;79100;SAINTE-VERGE;Commune simple;71;1282;1,5;47,0128810811;-0,227694435042
79173;79500;MAZIERES-SUR-BERONNE;Commune simple;89;963;0,4;46,1827256837;-0,19031518074
79334;79210;USSEAU;Commune simple;31;1636;0,9;46,1701185882;-0,587199474671
79321;79100;TAIZE;Commune simple;81;2132;0,8;46,929663684;-0,137558548242
79049;79300;BRESSUIRE;Sous-préfecture;175;18202;18,6;46,8545755683;-0,479375922286
79042;79800;BOUGON;Commune simple;107;1197;0,2;46,3681223609;-0,058422640934
79304;79270;SANSAIS;Commune simple;10;1504;0,8;46,290244918;-0,594225936069
79091;79140;CIRIERES;Commune simple;199;1715;1;46,8409779696;-0,621904692049
79118;79450;FENERY;Commune simple;212;1275;0,3;46,6849155866;-0,364879721586
79208;79200;LA PEYRATTE;Commune simple;150;4757;1,1;46,664567255;-0,158712807616
79038;79300;BOISME;Commune simple;177;3543;1,2;46,7824800962;-0,433256356633
79078;79360;PRISSE-LA-CHARRIERE;Commune simple;47;2044;0,6;46,1506834964;-0,48413782937
79280;79150;SAINT-MAURICE-LA-FOUGEREUSE;Commune simple;127;3621;0,5;47,0496404823;-0,508816707634
79188;79320;MOUTIERS-SOUS-CHANTEMERLE;Commune simple;185;2551;0,6;46,6878996227;-0,624436667699
79124;79340;LES FORGES;Commune simple;179;1060;0,1;46,5424201679;-0,0197804413151
79343;79170;VERNOUX-SUR-BOUTONNE;Commune simple;50;819;0,1;46,1579500022;-0,262109778783
79220;79210;PRIN-DEYRANCON;Commune simple;18;1620;0,6;46,2187958758;-0,646970168525
79058;79230;BRULAIN;Commune simple;61;2489;0,7;46,2053327297;-0,314279915986
79238;79300;SAINT-AUBIN-DU-PLAIN;Commune simple;138;1417;0,5;46,9236179795;-0,470709364194
79060;79190;CAUNAY;Commune simple;136;1447;0,2;46,2016740241;0,088702939979
79271;79310;SAINT-MARC-LA-LANDE;Commune simple;175;1035;0,4;46,5253805702;-0,359877373961
79306;79200;SAURAIS;Commune simple;186;1157;0,2;46,6235561265;-0,135209285166
79063;79290;CERSAY;Commune simple;86;3697;1;47,0601100117;-0,36392979915
79171;79100;MAUZE-THOUARSAIS;Commune simple;96;4971;2,1;46,9730884096;-0,286634323187
79303;79800;SALLES;Commune simple;103;795;0,3;46,3878556621;-0,0976374643512
79289;79700;SAINT-PIERRE-DES-ECHAUBROGNES;Commune simple;163;2929;1,4;46,9797414702;-0,751899172602
79134;79330;GLENAY;Commune simple;119;2125;0,5;46,856442767;-0,241719789951
79200;79220;PAMPLIE;Commune simple;120;1220;0,3;46,5267037965;-0,439316862491
79293;79410;SAINT-REMY;Commune simple;70;1365;1;46,3713101301;-0,523390967902
79339;79340;VASLES;Commune simple;173;8924;1,7;46,5737648617;-0,0494104571753
79061;79370;CELLES-SUR-BELLE;Chef-lieu canton;107;3757;3,8;46,2405369288;-0,218181064771
79070;79220;LA CHAPELLE-BATON;Commune simple;139;1692;0,4;46,4685249074;-0,324601053258
79218;79390;PRESSIGNY;Commune simple;138;1199;0,2;46,7517058478;-0,0845157139309
79004;79370;AIGONNAY;Commune simple;119;1428;0,6;46,3265792945;-0,248620838347
79213;79200;POMPAIRE;Commune simple;176;1279;1,9;46,6162346991;-0,239456636326
79246;79800;SAINTE-EANNE;Commune simple;107;1383;0,7;46,3915503941;-0,134321812271
79125;79230;FORS;Commune simple;46;1885;1,7;46,2413057135;-0,414327333899
79209;79330;PIERREFITTE;Commune simple;141;1593;0,3;46,8649655632;-0,303291245227
79337;79270;LE VANNEAU-IRLEAU;Commune simple;7;1428;0,9;46,3008415129;-0,643099715141
79274;79100;SAINT-MARTIN-DE-MACON;Commune simple;53;1234;0,3;47,0226217222;-0,11381871589
79019;79390;AUBIGNY;Commune simple;157;1197;0,2;46,7272853814;-0,104552795327
79152;79190;LORIGNE;Commune simple;148;1109;0,3;46,1065410411;0,069110436943
79277;79290;SAINT-MARTIN-DE-SANZAY;Commune simple;45;2436;1;47,0747309996;-0,194759847944
79244;79100;SAINT-CYR-LA-LANDE;Commune simple;45;901;0,3;47,0506321675;-0,150283399563
79086;79410;CHERVEUX;Commune simple;91;2215;1,6;46,4212062389;-0,353210570059
79034;79000;BESSINES;Commune simple;14;1147;1,6;46,2924246809;-0,51369379312
79355;79230;VOUILLE;Commune simple;64;2231;3,2;46,3162898992;-0,356117687455
79122;79110;FONTENILLE-SAINT-MARTIN-D'ENTRAIGUES;Commune simple;89;1534;0,6;46,1121201701;-0,132411224833
79043;79290;BOUILLE-LORETZ;Commune simple;56;2670;1,1;47,0837533753;-0,281260023968
79046;79210;LE BOURDET;Commune simple;13;830;0,5;46,238410731;-0,635204990837
79096;79140;COMBRAND;Commune simple;187;2458;1,1;46,8639718192;-0,695632067582
79172;79310;MAZIERES-EN-GATINE;Chef-lieu canton;184;1914;1;46,5207504336;-0,323592605264
79253;79400;SAINT-GEORGES-DE-NOISNE;Commune simple;162;2490;0,7;46,4804515489;-0,242191937779
79077;79160;LA CHAPELLE-THIREUIL;Commune simple;122;1737;0,4;46,5528411704;-0,552963332142
79350;79360;VILLIERS-EN-BOIS;Commune simple;74;1860;0,2;46,1418949381;-0,408815332834
79126;79360;LES FOSSES;Commune simple;73;1225;0,4;46,1685885952;-0,368590910512
